Date,Fighter 1,Fighter 2,Result,Split Dec?
12/10/2019,Mike Davis,Thomas Gifford,1,0
12/10/2019,Max Griffin,Alex Morono,2,0
12/10/2019,Deiveson Figueiredo,Tim Elliott,1,0
12/10/2019,Marlon Vera,Andre Ewell,1,0
12/10/2019,Miguel Baeza,Hector Aldana,1,0
12/10/2019,Marvin Vettori,Andrew Sanchez,1,0
12/10/2019,JJ Aldrich,Lauren Mueller,1,0
18/10/2019,Dominick Reyes,Chris Weidman,1,0
18/10/2019,Yair Rodriguez,Jeremy Stephens,1,0
18/10/2019,Greg Hardy,Ben Sosoli,1,1
18/10/2019,Joe Lauzon,Jonathan Pearce,1,0
18/10/2019,Maycee Barber,Gillian Robertson,1,0
18/10/2019,Deron Winn,Darren Stewart,2,1
18/10/2019,Charles Rosa,Manny Bermudez,1,0
18/10/2019,Molly McCann,Diana Belbita,1,0
18/10/2019,Kyle Bochniak,Sean Woodson,2,0
18/10/2019,Randy Costa,Boston Salmon,1,0
18/10/2019,Court McGee,Sean Brady,2,0
18/10/2019,Brendan Allen,Kevin Holland,1,0
18/10/2019,Daniel Spitz,Tanner Boser,2,0
26/10/2019,Demian Maia,Ben Askren,1,0
26/10/2019,Michael Johnson,Stevie Ray,2,0
26/10/2019,Frank Camacho,Beneil Dariush,2,0
26/10/2019,Ciryl Gane,Don'Tale Mayes,1,0
26/10/2019,Muslim Salikhov,Laureano Staropoli,1,0
26/10/2019,Randa Markos,Ashley Yoder,1,1
26/10/2019,Alex White,Rafael Fiziev,2,0
26/10/2019,Enrique Barzola,Movsar Evloev,2,0
26/10/2019,Maurice Greene,Sergei Pavlovich,2,0
26/10/2019,Loma Lookboonmee,Aleksandra Albu,1,1
26/10/2019,Raphael Pessoa,Jeff Hughes,1,0
02/11/2019,Jorge Masvidal,Nate Diaz,1,0
02/11/2019,Kelvin Gastelum,Darren Till,2,1
02/11/2019,Stephen Thompson,Vicente Luque,1,0
02/11/2019,Derrick Lewis,Blagoy Ivanov,1,1
02/11/2019,Kevin Lee,Gregor Gillespie,1,0
02/11/2019,Corey Anderson,Johnny Walker,1,0
02/11/2019,Shane Burgos,Makwan Amirkhani,1,0
02/11/2019,Brad Tavares,Edmen Shahbazyan,2,0
02/11/2019,Andrei Arlovski,Jairzinho Rozenstruik,2,0
02/11/2019,Katlyn Cerminara,Jennifer Maia,1,0
02/11/2019,Lyman Good,Chance Rencountre,1,0
02/11/2019,Julio Arce,Hakeem Dawodu,2,1
09/11/2019,Zabit Magomedsharipov,Calvin Kattar,1,0
09/11/2019,Alexander Volkov,Greg Hardy,1,0
09/11/2019,Zelim Imadaev,Danny Roberts,2,0
09/11/2019,Khadis Ibragimov,Ed Herman,2,0
09/11/2019,Ramazan Emeev,Anthony Rocco Martin,2,0
