,Height1,Reach1,Age 1,Knockdowns PM 1,Gets Knocked Down PM 1,Sig Strikes Landed PM 1,Sig Strikes Attempted PM 1,Sig Strikes Absorbed PM 1,Strikes Landed PM 1,Strikes Attempted PM 1,Strikes Absorbed PM 1,Strike Accuracy 1,Takedowns PM 1,Takedown Attempts PM 1,Gets Taken Down PM 1,Submission Attempts PM 1,Clinch Strikes PM 1,Clinch Strikes Taken PM 1,Grounds Strikes PM 1,Ground Strikes Taken PM 1,Height 2,Reach 2,Age 2,Knockdowns PM 2,Gets Knocked Down PM 2,Sig Strikes Landed PM 2,Sig Strikes Attempted PM 2,Sig Strikes Absorbed PM 2,Strikes Landed PM 2,Strikes Attempted PM 2,Strikes Absorbed PM 2,Strike Accuracy 2,Takedowns PM 2,Takedown Attempts PM 2,Gets Taken Down PM 2,Submission Attempts PM 2,Clinch Strikes PM 2,Clinch Strikes Taken PM 2,Grounds Strikes PM 2,Ground Strikes Taken PM 2,Win,Loss
617,167.6,66.0,35.0,0.0,0.0133,2.4133,4.1067,2.2133,7.1733,9.1067,5.0,0.7877,0.2133,0.3467,0.04,0.0267,0.4267,0.7067,0.5867,0.4267,165.1,66.0,31.0,0.0135,0.0,3.7265,7.0762,2.6233,6.9417,10.4529,4.5336,0.6641,0.148,0.2825,0.0404,0.0538,0.3767,0.6054,1.3722,0.0269,0.0,1.0
618,180.3,75.0,27.0,0.1388,0.0278,8.2424,13.2655,6.7715,8.2701,13.2932,7.6318,0.6221,0.0,0.0,0.0278,0.0833,0.5828,0.5273,0.7771,0.2498,177.8,71.0,27.0,0.0,0.0309,3.613,7.5039,4.1534,3.8291,7.72,4.4159,0.496,0.0772,0.1544,0.0463,0.0,0.6485,0.3088,0.2934,0.2162,1.0,0.0
619,177.8,71.0,27.0,0.0,0.0309,3.613,7.5039,4.1534,3.8291,7.72,4.4159,0.496,0.0772,0.1544,0.0463,0.0,0.6485,0.3088,0.2934,0.2162,180.3,75.0,27.0,0.1388,0.0278,8.2424,13.2655,6.7715,8.2701,13.2932,7.6318,0.6221,0.0,0.0,0.0278,0.0833,0.5828,0.5273,0.7771,0.2498,0.0,1.0
620,188.0,75.0,29.0,0.0266,0.0,4.4415,9.4415,3.9894,5.6117,10.6383,5.5585,0.5275,0.0532,0.2128,0.0798,0.0,0.7181,0.5851,0.6915,0.1596,177.8,73.0,36.0,0.0358,0.0179,2.5224,5.0268,2.0394,2.9875,5.4919,2.5581,0.544,0.1252,0.4651,0.0,0.0179,0.4472,0.2504,0.644,0.0358,1.0,0.0
621,177.8,73.0,36.0,0.0358,0.0179,2.5224,5.0268,2.0394,2.9875,5.4919,2.5581,0.544,0.1252,0.4651,0.0,0.0179,0.4472,0.2504,0.644,0.0358,188.0,75.0,29.0,0.0266,0.0,4.4415,9.4415,3.9894,5.6117,10.6383,5.5585,0.5275,0.0532,0.2128,0.0798,0.0,0.7181,0.5851,0.6915,0.1596,0.0,1.0
622,180.3,72.0,31.0,0.0,0.0,4.0826,10.9964,2.8068,7.4362,14.9939,4.6902,0.4959,0.401,0.7169,0.0608,0.0,0.4982,0.5103,0.2916,0.0972,180.3,74.0,37.0,0.0142,0.0142,4.0265,8.2231,6.2098,4.948,9.2013,7.1739,0.5378,0.0142,0.0284,0.0567,0.0,1.4745,1.5595,0.2552,0.2268,1.0,0.0
623,180.3,74.0,37.0,0.0142,0.0142,4.0265,8.2231,6.2098,4.948,9.2013,7.1739,0.5378,0.0142,0.0284,0.0567,0.0,1.4745,1.5595,0.2552,0.2268,180.3,72.0,31.0,0.0,0.0,4.0826,10.9964,2.8068,7.4362,14.9939,4.6902,0.4959,0.401,0.7169,0.0608,0.0,0.4982,0.5103,0.2916,0.0972,0.0,1.0
624,172.7,71.0,35.0,0.0,0.0436,2.8779,5.9738,4.4477,4.3605,7.5872,5.407,0.5747,0.218,0.436,0.0872,0.0872,0.218,0.436,0.5233,0.6105,170.2,70.0,37.0,0.0416,0.0208,4.4298,11.4801,3.2028,7.4038,15.2028,3.4939,0.487,0.0624,0.3536,0.0,0.0,0.4575,0.2912,1.0607,0.0208,1.0,0.0
625,170.2,70.0,37.0,0.0416,0.0208,4.4298,11.4801,3.2028,7.4038,15.2028,3.4939,0.487,0.0624,0.3536,0.0,0.0,0.4575,0.2912,1.0607,0.0208,172.7,71.0,35.0,0.0,0.0436,2.8779,5.9738,4.4477,4.3605,7.5872,5.407,0.5747,0.218,0.436,0.0872,0.0872,0.218,0.436,0.5233,0.6105,0.0,1.0
626,175.3,69.0,35.0,0.0271,0.0,4.6811,9.2809,4.0977,7.5984,12.483,5.4953,0.6087,0.1764,0.2849,0.2307,0.0,0.7327,0.9769,1.4925,0.2714,180.3,70.0,30.0,0.0212,0.0635,3.9153,8.6984,4.8042,5.9048,10.8571,6.0106,0.5439,0.127,0.1481,0.0,0.0,0.4656,0.6561,0.381,0.381,1.0,0.0
